"UsageDate","ResourceGroupName","CostUSD","Cost","Currency"
"2025-09-08","evaluation-ttn-storage-integration","0.0020748","0.0020748","USD"
"2025-09-08","exp-a-direct-ingestion-to-delta-lake","0.13137306","0.13137306","USD"
"2025-09-08","exp-b-queue-ingestion-to-delta-lake","0.44776368","0.44776368","USD"
"2025-09-08","exp-c-evt-grid-ingestion-to-delta-lake","0.4579575","0.4579575","USD"
"2025-09-08","exp-d-evt-hubs-ingestion-to-delta-lake","0.43305444","0.43305444","USD"
"2025-09-08","ttn-integration-iotcentral","0.49932246","0.49932246","USD"
"2025-09-08","ttn-integration-iothub","0.5210478","0.5210478","USD"
"2025-09-09","evaluation-ttn-storage-integration","0.00219492","0.00219492","USD"
"2025-09-09","exp-a-direct-ingestion-to-delta-lake","0.38085684","0.38085684","USD"
"2025-09-09","exp-b-queue-ingestion-to-delta-lake","0.47995584","0.47995584","USD"
"2025-09-09","exp-c-evt-grid-ingestion-to-delta-lake","0.49806666","0.49806666","USD"
"2025-09-09","exp-d-evt-hubs-ingestion-to-delta-lake","0.44991492","0.44991492","USD"
"2025-09-09","ttn-integration-iotcentral","0.42683004","0.42683004","USD"
"2025-09-09","ttn-integration-iothub","0.44559606","0.44559606","USD"
"2025-09-10","evaluation-ttn-storage-integration","0.00288288","0.00288288","USD"
"2025-09-10","exp-a-direct-ingestion-to-delta-lake","0.17323488","0.17323488","USD"
"2025-09-10","exp-b-queue-ingestion-to-delta-lake","0.50286054","0.50286054","USD"
"2025-09-10","exp-c-evt-grid-ingestion-to-delta-lake","0.49388976","0.49388976","USD"
"2025-09-10","exp-d-evt-hubs-ingestion-to-delta-lake","0.47686002","0.47686002","USD"
"2025-09-10","ttn-integration-iotcentral","0.50070384","0.50070384","USD"
"2025-09-10","ttn-integration-iothub","0.48960912","0.48960912","USD"
"2025-09-11","evaluation-ttn-storage-integration","0.0018018","0.0018018","USD"
"2025-09-11","exp-a-direct-ingestion-to-delta-lake","0.1517061","0.1517061","USD"
"2025-09-11","exp-b-queue-ingestion-to-delta-lake","0.47868912","0.47868912","USD"
"2025-09-11","exp-c-evt-grid-ingestion-to-delta-lake","0.49673442","0.49673442","USD"
"2025-09-11","exp-d-evt-hubs-ingestion-to-delta-lake","0.46072572","0.46072572","USD"
